id,decision,status,objective,candidateObjective,mapping,originalDomain,domain,question,reason,reference,reviewedAt
"11","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Must a COPY INTO table statement always contain an explicit FILE_FORMAT clause?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"12","conservar_revisada","verified","1.3","","editorial","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","Which of the following commands sets the Virtual Warehouse for a session?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/sql-reference/sql/use-warehouse","2026-09-21"
"13","conservar_revisada","verified","5.1","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which of the following objects can be cloned? (Choose four.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/object-clone","2026-09-21"
"14","apartar","quarantine","","2.3","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which object allows you to limit the number of credits consumed within a Snowflake account?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/resource-monitors.html",""
"15","apartar","quarantine","","","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Snowflake is designed for which type of workloads? (Choose two.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/intro-key-concepts.html",""
"16","conservar_revisada","verified","1.1","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","What are the three layers that make up Snowflake's architecture? (Choose three.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"17","corregir","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","One complex query is limited by compute resources in an X-Small warehouse. Which change should be benchmarked to give that query more resources?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"18","conservar_revisada","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","True or False: Reader Accounts incur no additional Compute costs to the Data Provider since they are simply reading the shared data without making changes.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-sharing-reader-create","2026-09-21"
"19","corregir","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which listed interfaces support Snowflake MFA with supported client versions and compatible authentication methods? (Choose all five.)","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/security-mfa","2026-09-21"
"20","corregir","verified","2.3","","editorial","Arquitectura y Data Cloud","Gestion de cuenta y Gobernanza","Is there a separate storage-price premium solely because native table data is semi-structured rather than structured?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/cost-understanding-data-storage","2026-09-21"
"21","apartar","quarantine","","","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which of the following statements describes a benefit of Snowflake's separation of compute and storage? (Choose all that apply.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#cloud-data-architecture",""
"22","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","True or False: It is possible to unload structured data to semi-structured formats such as JSON and Parquet.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-location","2026-09-21"
"23","conservar_revisada","verified","1.1","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","In which layer of its architecture does Snowflake store its metadata statistics?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"24","corregir","verified","5.1","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Can an administrator configure a shorter Fail-safe retention period for a permanent Snowflake table?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/data-failsafe","2026-09-21"
"25","archivar","archived","","1.4","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","True or False: Snowflake's data warehouse was built from the ground up for the cloud in lieu of using an existing database or a platform, like Hadoop, as a base.","Trivia histórica sobre el origen del producto; la arquitectura actual ya se evalúa en preguntas más útiles.","https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#built-for-the-cloud","2026-09-21"
"26","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which of the following statements are true of Virtual Warehouses? (Choose all that apply.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/warehouses-tasks","2026-09-21"
"27","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","For an uncompressed file uploaded with PUT using default compression settings, which statements are true? (Choose two.)","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/put","2026-09-21"
"28","conservar_revisada","verified","1.5","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Which type of table corresponds to a single Snowflake session?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/tables-temp-transient","2026-09-21"
"29","corregir","verified","1.4","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Which interfaces can create and manage virtual warehouses when the user has the required privileges? (Choose two.)","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/warehouses-tasks","2026-09-21"
"30","corregir","verified","3.2","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What happens to the pipe-specific file load history when a pipe is recreated with CREATE OR REPLACE PIPE?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/data-load-snowpipe-manage","2026-09-21"
"31","apartar","quarantine","","1.1","provisional","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","What is the minimum Snowflake edition that customers planning on storing protected information in Snowflake should consider for regulatory compliance?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/intro-editions#security-governance-data-protection",""
"32","apartar","quarantine","","1.5","provisional","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Select the three types of tables that exist within Snowflake. (Choose three.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/tables-temp-transient.html",""
"33","conservar_revisada","verified","3.2","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","True or False: Snowpipe via REST API can only reference External Stages as source.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro","2026-09-21"
"34","corregir","verified","3.3","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","A third-party Java tool supports JDBC but has no built-in Snowflake connection profile. Can it potentially connect to Snowflake?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/developer-guide/jdbc/jdbc","2026-09-21"
"35","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","True or False: It is possible to load data into Snowflake without creating a named File Format object.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"36","conservar_revisada","verified","1.1","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","True or False: A table in Snowflake can only be queried using the Virtual Warehouse that was used to load the data.","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"37","corregir","verified","4.4","","editorial","Carga, Descarga y Conectividad","Rendimiento, Consultas y Transformacion","How does JSON null stored inside a VARIANT compare with SQL NULL?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/data-types-semistructured","2026-09-21"
"38","apartar","quarantine","","1.5","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which statements are true of micro-partitions? (Choose two.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html",""
"39","archivar","archived","","","provisional","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","True or False: Query ID's are unique across all Snowflake deployments and can be used in communication with Snowflake Support to help troubleshoot issues.","La unicidad global de identificadores y su uso con soporte no evalúa una habilidad prioritaria del temario; se conserva el original sin afirmar que la clave sea falsa.","https://docs.snowflake.com/en/sql-reference/sql/show-queries.html","2026-09-21"
"40","apartar","quarantine","","4.3","provisional","Carga, Descarga y Conectividad","Rendimiento, Consultas y Transformacion","A deterministic query is run at 8am, takes 5 minutes, and the results are cached. Which of the following statements are true? (Choose two.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/querying-persisted-results.html",""
"41","conservar_revisada","verified","1.4","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Increasing the maximum number of clusters in a Multi-Cluster Warehouse is an example of:","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"42","corregir","verified","1.5","","editorial","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","How is data in a standard native Snowflake table physically organized?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions","2026-09-21"
"43","apartar","quarantine","","1.4","provisional","Carga, Descarga y Conectividad","Arquitectura y Data Cloud","Which item in the Data Warehouse migration process does not apply in Snowflake?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#automatic-clustering",""
"44","conservar_revisada","verified","1.5","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Snowflake provides two mechanisms to reduce data storage costs for short-lived tables. These mechanisms are: (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/tables-temp-transient","2026-09-21"
"45","apartar","quarantine","","","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","What is the maximum compressed row size in Snowflake?","Límite histórico de 16 MB sin contexto de tipo/versión; contrastar con límites actuales.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html",""
"46","archivar","archived","","1.2","provisional","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","Which of the following are main sections of the top navigation of the Snowflake Web Interface (UI)? (Choose three.)","Navegación de la interfaz clásica: las opciones no representan una pregunta estable sobre Snowsight actual.","https://docs.snowflake.com/en/user-guide/ui-overview.html","2026-09-21"
"47","corregir","verified","4.4","","editorial","Carga, Descarga y Conectividad","Rendimiento, Consultas y Transformacion","Which Snowflake type is designed to store a JSON document together with its native value types?","Acotado el escenario para evitar generalizaciones; clave conservada.","https://docs.snowflake.com/en/sql-reference/data-types-semistructured","2026-09-21"
"48","archivar","archived","","","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which of the following statements are true of Snowflake releases: (Choose two.)","Cadencia operativa de releases e interfaz de mantenimiento: retirar de evaluación para evitar memorizar detalles cambiantes ajenos a las habilidades principales.","https://docs.snowflake.com/en/user-guide/intro-releases","2026-09-21"
"49","conservar_revisada","verified","5.1","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which of the following are common use cases for zero-copy cloning? (Choose three.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/object-clone","2026-09-21"
"50","apartar","quarantine","","1.4","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","If a Small Warehouse is made up of 2 servers/cluster, how many servers/cluster make up a Medium Warehouse?","Supone un número físico fijo de servidores por talla de warehouse; no es una equivalencia general fiable.","https://docs.snowflake.com/en/user-guide/warehouses-considerations.html#warehouse-size",""
"51","apartar","quarantine","","5.2","provisional","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","True or False: When a data share is established between a Data Provider and a Data Consumer, the Data Consumer can extend that data share to other Data Consumers.","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/data-sharing-intro.html",""
"52","conservar_revisada","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Which is true of Snowflake network policies? A Snowflake network policy: (Choose two.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/network-policies","2026-09-21"
"53","conservar_revisada","verified","5.2","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","True or False: Snowflake charges additional fees to Data Providers for each Share they create.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-sharing-intro","2026-09-21"
"54","apartar","quarantine","","4.3","provisional","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Query results are stored in the Result Cache for how long after they are last accessed, assuming no data changes have occurred?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/querying.html#query-result-reuse",""
"55","conservar_revisada","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","A role is created and owns 2 tables. This role is then dropped. Who will now own the two tables?","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/drop-role","2026-09-21"
"56","archivar","archived","","3.3","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which of the following connectors are available in the Downloads section of the Snowflake Web Interface (UI)? (Choose two.)","Ubicación histórica de descargas en la interfaz clásica; sustituida en la selección por preguntas de herramientas y conectividad.","https://docs.snowflake.com/en/user-guide/snowflake-client-repository","2026-09-21"
"57","corregir","verified","4.4","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Which Snowflake SQL statement can update matching target rows and insert nonmatching rows from a source in one statement?","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/sql-reference/sql/merge","2026-09-21"
"58","conservar_revisada","verified","5.1","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which of the following statements is true of zero-copy cloning?","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/object-clone","2026-09-21"
"59","corregir","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","By default, who owns a newly created custom role?","Original keyed answer incorrectly assigned role ownership to a user.","https://docs.snowflake.com/en/sql-reference/sql/create-role","2026-09-21"
"60","apartar","quarantine","","1.2","provisional","Gestion de cuenta y Gobernanza","Arquitectura y Data Cloud","The Query History in the Snowflake Web Interface (UI) is kept for approximately:","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/ui-snowsight-activity#query-history",""
"61","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","To run a Multi-Cluster Warehouse in auto-scale mode, a user would:","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"62","conservar_revisada","verified","1.1","","editorial","Arquitectura y Data Cloud","Arquitectura y Data Cloud","Which of the following terms best describes Snowflake's database architecture?","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/intro-key-concepts","2026-09-21"
"63","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which of the following are options when creating a Virtual Warehouse? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"64","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","A Virtual Warehouse's auto-suspend and auto-resume settings apply to:","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"65","conservar_revisada","verified","5.1","","editorial","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Fail-safe is unavailable on which table types? (Choose two.)","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/tables-temp-transient","2026-09-21"
"66","apartar","quarantine","","5.1","provisional","Colaboracion y Proteccion de datos","Colaboracion y Proteccion de datos","Which of the following objects is not covered by Time Travel?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/data-time-travel.html",""
"67","apartar","quarantine","","1.5","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","True or False: Micro-partition metadata enables some operations to be completed without requiring Compute.","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html",""
"68","apartar","quarantine","","3.1","provisional","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which of the following commands are not blocking operations? (Choose two.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/transactions.html",""
"69","conservar_revisada","verified","3.2","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which of the following is true of Snowpipe via REST API? (Choose two.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro","2026-09-21"
"70","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","Snowflake recommends, as a minimum, that all users with the following role(s) should be enrolled in Multi-Factor Authentication (MFA):","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/security-mfa.html",""
"71","apartar","quarantine","","1.4","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","When can a Virtual Warehouse start running queries?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/warehouses-overview.html",""
"72","apartar","quarantine","","2.1","provisional","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","True or False: Users are able to see the result sets of queries executed by other users that share their same role.","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/querying.html#query-results",""
"73","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","True or False: The user has to specify which cluster a query will run on in a multi-cluster Warehouse.","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster","2026-09-21"
"74","conservar_revisada","verified","3.2","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","True or False: Pipes can be suspended and resumed.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/sql-reference/sql/alter-pipe","2026-09-21"
"75","apartar","quarantine","","4.4","provisional","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","Which of the following languages can be used to implement Snowflake User Defined Functions (UDFs)? (Choose three.)","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/sql-reference/udf-overview.html",""
"76","corregir","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","Which situations can justify keeping a warehouse running rather than aggressively auto-suspending it? (Choose two.)","Reformulado para corregir ambigüedad, alcance o terminología; clave y explicación contrastadas.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
"77","conservar_revisada","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","Which of the following are valid approaches to loading data into a Snowflake table? (Choose all that apply.)","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/data-load-overview","2026-09-21"
"78","conservar_revisada","verified","1.4","","editorial","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","If auto-suspend is enabled for a Virtual Warehouse, the Warehouse is automatically suspended when:","Enunciado, opciones y clave revisados; explicación sustituida por una nota contrastada.","https://docs.snowflake.com/en/user-guide/warehouses-tasks","2026-09-21"
"79","conservar_revisada","verified","2.1","","editorial","Gestion de cuenta y Gobernanza","Gestion de cuenta y Gobernanza","True or False: Multi-Factor Authentication (MFA) in Snowflake is only supported in conjunction with Single Sign-On (SSO).","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/security-mfa","2026-09-21"
"80","apartar","quarantine","","1.4","provisional","Rendimiento, Consultas y Transformacion","Arquitectura y Data Cloud","The number of queries that a Virtual Warehouse can concurrently process is determined by (Choose two.):","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/user-guide/warehouses-considerations.html#concurrency-and-warehouses",""
"81","corregir","verified","3.1","","editorial","Carga, Descarga y Conectividad","Carga, Descarga y Conectividad","What does VALIDATION_MODE in COPY INTO <table> do for a supported load?","Original answer incorrectly said validation completes the load.","https://docs.snowflake.com/en/sql-reference/sql/copy-into-table","2026-09-21"
"82","apartar","quarantine","","2.1","provisional","Rendimiento, Consultas y Transformacion","Gestion de cuenta y Gobernanza","What privileges are required to create a task?","Revisar alcance, condiciones o clave: una lectura preliminar detectó ambigüedad, límite histórico, contexto ausente o posible respuesta adicional. No se declara incorrecta sin validar todas las opciones.","https://docs.snowflake.com/en/sql-reference/sql/create-task.html",""
"83","archivar","archived","","1.4","provisional","Arquitectura y Data Cloud","Arquitectura y Data Cloud","What are the three things customers want most from their enterprise data warehouse solution? (Choose three.)","Consejo sobre el examen, preferencia comercial o trivia de partners; no evalúa directamente una habilidad del temario.","https://docs.snowflake.com/en/user-guide/intro-key-concepts.html",""
"84","conservar_revisada","verified","4.3","","editorial","Rendimiento, Consultas y Transformacion","Rendimiento, Consultas y Transformacion","True or False: Some queries can be answered through the metadata cache and do not require an active Virtual Warehouse.","Enunciado, todas las opciones y clave contrastados; explicación actualizada.","https://docs.snowflake.com/en/user-guide/warehouses-considerations","2026-09-21"
